2620511.210942,3723684.020747,2794209.978388,3306866.340354,2554812.965206,3399593.060766,2950055.133842,3394453.055151,2715951.469122,3793950.928974
3723684.020747,3950713.467603,3700158.527360,4039408.578875,3450524.614217,4211335.383039,3685099.270561,4230169.865035,3489087.656409,4134932.621410
2794209.978388,3700158.527360,2447704.281537,2939330.950959,2423674.990314,2967022.953209,2685743.483480,3199917.270837,2813394.585201,3634638.165334
3306866.340354,4039408.578875,2939330.950959,3116497.967043,2889652.437981,3262746.381178,3028669.716986,3546255.579480,3202491.230835,3897586.823855
2554812.965206,3450524.614217,2423674.990314,2889652.437981,2180402.553277,2955120.595517,2553838.916974,3041160.924176,2543344.859761,3441343.702651
3399593.060766,4211335.383039,2967022.953209,3262746.381178,2955120.595517,3231127.600958,3100300.473169,3611021.250685,3386909.871548,4075618.633240
2950055.133842,3685099.270561,2685743.483480,3028669.716986,2553838.916974,3100300.473169,2630247.972715,3341280.634576,2873671.572683,3648139.130141
3394453.055151,4230169.865035,3199917.270837,3546255.579480,3041160.924176,3611021.250685,3341280.634576,3441146.893836,3386001.869525,4139634.312403
2715951.469122,3489087.656409,2813394.585201,3202491.230835,2543344.859761,3386909.871548,2873671.572683,3386001.869525,2440637.295916,3541563.407730
3793950.928974,4134932.621410,3634638.165334,3897586.823855,3441343.702651,4075618.633240,3648139.130141,4139634.312403,3541563.407730,4021097.599733
